Pas;ECinetica;EPotencial;ETotal;Temperatura
276;287.164;-163.686;-134,97;0,448694
277;287.154;-163.674;-134.959;0,448679
278;286.436;-163.601;-134.958;0,447557
279;285.105;-163.457;-134.946;0,445477
280;283.285;-163.263;-134.934;0,442632
281;281.113;-163.039;-134.928;0,439238
282;278.734;-162.795;-134.921;0,435521
283;276.288;-162.549;-134,92;0,4317
284;273.903;-162.316;-134.925;0,427974
285;271.692;-162.088;-134.919;0,424519
286;269.747;-161.894;-134.919;0,421479
287;268.134;-161.732;-134.919;0,418959
288;266.901;-161.619;-134.929;0,417032
289;266.074;-161.542;-134.935;0,41574
290;265.663;-161.501;-134.935;0,415099
291;265.665;-161.518;-134.951;0,415102
292;266.061;-161.541;-134.935;0,415721
293;266.821;-161.612;-134,93;0,416907
294;267.894;-161,72;-134.931;0,418585
295;269.212;-161.853;-134.931;0,420644
296;270.685;-162.006;-134.938;0,422946
297;272.209;-162,17;-134,95;0,425326
298;273.673;-162.318;-134,95;0,427615
299;274.982;-162.444;-134.945;0,429659
300;276.061;-162.552;-134.946;0,431345
301;276.863;-162.632;-134.946;0,432598
302;277.366;-162.683;-134.946;0,433385
303;277.566;-162.703;-134.946;0,433696
304;277.467;-162.688;-134.941;0,433542
305;277.092;-162.639;-134,93;0,432956
306;276.489;-162.573;-134.924;0,432014
307;275.754;-162.493;-134.918;0,430865
308;275.024;-162.419;-134.917;0,429725
309;27.446;-162.357;-134.911;0,428844
310;274.181;-162.329;-134.911;0,428408
311;274.189;-162.336;-134.917;0,428421
312;274.318;-162.346;-134.914;0,428622
313;274.228;-162,34;-134.917;0,428482
314;273.472;-162.284;-134.937;0,4273
315;271.605;-162.105;-134.945;0,424382
316;268.315;-161.772;-134,94;0,419242
317;26.354;-161.287;-134.933;0,411782
318;257.542;-160.689;-134.935;0,40241
319;250.906;-160.026;-134.935;0,39204
320;244.428;-159.378;-134.935;0,381919
321;238.906;-158.828;-134.937;0,373291
322;234.894;-158.409;-134,92;0,367022
323;232.543;-158.181;-134.927;0,363349
324;23.163;-158.092;-134,93;0,361921
325;231.711;-158.092;-134.921;0,362048
326;232.324;-158.161;-134.929;0,363006
327;233.115;-158.241;-134,93;0,364243
328;233.877;-158.323;-134.935;0,365433
329;234.515;-158,37;-134.918;0,36643
330;234.999;-158.413;-134.913;0,367186
331;235.316;-158.444;-134.913;0,367681
332;235.451;-158.452;-134.907;0,367892
333;235.375;-158.445;-134.907;0,367774
334;235.046;-158.423;-134.919;0,367259
335;234.409;-158.371;-134,93;0,366264
336;233.411;-158.266;-134.925;0,364705
337;232.013;-158.121;-134,92;0,36252
338;23.021;-157.946;-134.925;0,359702
339;228.057;-157.724;-134.919;0,356339
340;225.687;-157.492;-134.923;0,352635
341;223.305;-157.246;-134.916;0,348913
342;221.171;-157.037;-134,92;0,345579
343;219.553;-156.868;-134.913;0,343051
344;218.669;-156.785;-134.918;0,341671
345;218.637;-156.787;-134.923;0,34162
346;219.438;-156.869;-134.925;0,342872
347;220.918;-157.013;-134.921;0,345184
348;222.816;-157.221;-134,94;0,34815
349;224.822;-157.424;-134.942;0,351284
